travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.04764388329899,-8.07571131671672,-8.18923702938096,-8.254408872913476"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.250251559771622,-4.230344048211721,-4.23278584217543,-4.31794227967084"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6368683343381992,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.141164790702916,-3.1980066741691897,-3.167161631226894,-3.137965147081708"
3.1,4,Human,0,3,3,11,-3.1,"-3.1000229208737022,-3.1108989458857805,-3.1215772036573752,-3.16017295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.464433215675511,-5.432786360676689,-5.461440042184152,-5.44594194780364"
2.55,6,Human,2,4,4,13,-2.55,"-2.548985035531981,-2.608908923052675,-2.549070896842837,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.3048206488263165,-5.295554936047446,-5.317956853583523,-5.326263347629217"
5.45,8,Human,1,4,3,17,-5.45,"-5.663069328840291,-5.428608483241918,-5.658790129669767,-5.59066454460608"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.48348075897129,-2.48708148474479,-2.6080414845022246,-2.543484582751748"
5.25,10,Human,1,4,3,26,-5.25,"-5.2477433150328965,-5.1775507981439555,-5.24497877040248,-5.2438937690181975"
5.116666666666666,11,Human,1,4,3,28,-5.116666666666666,"-5.255136210457787,-5.168542178049104,-5.2189246957242545,-5.240853270838314"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.881488366794685,-2.9917063985250394,-3.002445894323359,-2.880219630592101"
4.583333333333333,13,Human,0,6,5,31,-4.583333333333333,"-4.571354215306902,-4.6729365010799135,-4.719364025560223,-4.819612191024718"
4.283333333333333,14,Human,3,1,1,33,-4.283333333333333,"-4.262595367771623,-4.256386556803566,-4.252247290159791,-4.257839232807457"
5.0,15,Human,1,4,3,37,-5.0,"-5.139196661050365,-5.003391967908053,-5.02735637040248,-5.048707761881226"
0.85,16,Human,0,7,6,39,-0.85,"-0.8586355659306935,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6913346020091191,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9114140763965697,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.118102238249056,-4.209187727361427,-4.176942781835557,-4.158037162338768"
4.583333333333333,20,Human,1,4,3,57,-4.583333333333333,"-4.861917328840292,-4.606052702620104,-4.666200995420542,-4.655482035684864"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.783054783124656,-2.9592442633842597,-2.9483995828424963,-2.907190793610461"
3.25,22,Human,1,11,4,60,-3.25,"-3.2529404809653997,-3.2497732530214143,-3.509711212501158,-3.2689308016874103"
4.1,23,Human,2,7,9,61,-4.1,"-4.105731412632733,-4.125803209783538,-4.102390459773751,-4.237178747607392"
4.2,24,Human,3,12,10,69,-4.2,"-4.549977435656739,-4.544610829555088,-4.819613827758659,-4.210609524649061"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8363758486500195,-3.0853057565718864,-2.9147564857476467"
2.4166666666666665,26,Human,0,13,11,72,-2.4166666666666665,"-2.4050804381686777,-2.477549441662914,-2.441025318932181,-2.470433230256019"
4.416666666666667,27,Human,1,11,3,73,-4.416666666666667,"-4.467296903521669,-4.404881589149578,-4.479347992250782,-4.503128738583123"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.332298147936428,-4.320048338290256,-4.376918864373835,-4.369911140365585"
