travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.216666666666667,0,Human,1,0,0,5,-8.216666666666667,"-7.385614725659805,-7.492800758853949,-7.418599525074415,-7.478763863927307"
4.766666666666667,1,Human,0,1,1,5,-4.766666666666667,"-3.8348663276789487,-3.6957929305556103,-3.7021545144289005,-3.683775674451206"
0.65,2,Human,0,2,2,11,-0.65,"-0.6431586874755014,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.55,3,Human,1,0,3,11,-3.55,"-2.7184125540121515,-2.8825651188200316,-2.750445894323359,-2.7863260393760503"
3.216666666666667,4,Human,2,3,3,11,-3.216666666666667,"-2.8283763522411336,-2.78550928453743,-2.8558741391145377,-2.8227336406124732"
5.533333333333333,5,Human,0,4,3,12,-5.533333333333333,"-4.795516661050364,-4.732937800078355,-4.709480995420542,-4.828824544606079"
2.55,6,Human,0,4,4,13,-2.55,"-2.308781332198646,-2.248636153815844,-2.275527506496455,-2.6460978615056114"
5.3,7,Human,1,4,3,15,-5.3,"-4.620049994383697,-4.662865906745022,-4.630227662087208,-4.689923211272746"
5.333333333333333,8,Human,1,4,3,17,-5.333333333333333,"-4.954795826312955,-5.017412020946785,-4.995817910942343,-5.256664014090933"
3.1333333333333333,9,Human,3,5,2,25,-3.1333333333333333,"-2.262909563345316,-2.2398083154660284,-2.308398152868059,-2.400189061773018"
5.1,10,Human,1,4,3,26,-5.1,"-4.888956661050365,-4.760076228316814,-4.7058179109423435,-4.721917347424266"
5.516666666666667,11,Human,2,4,3,28,-5.516666666666667,"-4.851862492979622,-4.733178069383481,-4.884358129669767,-4.782630017613665"
2.8333333333333335,12,Human,3,0,3,30,-2.8333333333333335,"-2.6247370287011105,-2.6646329981562995,-2.682224034570865,-2.6235984229675076"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.487605606940714,-4.6729365010799135,-4.719364025560223,-4.499515238780898"
4.266666666666667,14,Human,2,1,1,33,-4.266666666666667,"-3.754183661012282,-3.7193929305556104,-3.7278931810955673,-3.648474341117873"
5.5,15,Human,2,4,3,37,-5.5,"-4.790662492979622,-4.681639946280119,-4.796494328753875,-4.719696684280332"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.864848949266279,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.6649695372872129,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9064089219563278,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.45,19,Human,3,8,9,57,-4.45,"-3.853046189185506,-3.8283554541701497,-3.996942781835557,-3.9469330661543247"
